Date      ,Closing Value
4/1/1968  ,38
4/2/1968  ,37.6
4/3/1968  ,37.7
4/4/1968  ,36.7
4/5/1968  ,37.2
4/8/1968  ,37
4/9/1968  ,37.25
4/10/1968 ,37.6
4/11/1968 ,38.05
4/16/1968 ,38.1
4/17/1968 ,38
4/18/1968 ,37.6
4/19/1968 ,37.65
4/22/1968 ,38.3
4/23/1968 ,38.05
4/24/1968 ,38.35
4/25/1968 ,38.25
4/26/1968 ,38.5
4/29/1968 ,38.55
4/30/1968 ,39.1
5/1/1968  ,39.1
5/2/1968  ,39.25
5/3/1968  ,39.6
5/6/1968  ,39.7
5/7/1968  ,39.3
5/8/1968  ,39.5
5/9/1968  ,39.7
5/10/1968 ,39.8
5/13/1968 ,39.4
5/14/1968 ,39.6
5/15/1968 ,40.1
5/16/1968 ,40.85
5/17/1968 ,41.6
5/20/1968 ,42
5/21/1968 ,42.6
5/22/1968 ,42.2
5/23/1968 ,41.5
5/24/1968 ,41.75
5/27/1968 ,41.5
5/28/1968 ,41.6
5/29/1968 ,41.5
5/30/1968 ,41.75
5/31/1968 ,42
6/4/1968  ,41.2
6/5/1968  ,41.4
6/6/1968  ,41.25
6/7/1968  ,41.2
6/10/1968 ,41.35
6/11/1968 ,41.3
6/12/1968 ,42.1
6/13/1968 ,41.4
6/14/1968 ,40.2
6/17/1968 ,40.9
6/18/1968 ,40.7
6/19/1968 ,41.4
6/20/1968 ,41.05
6/21/1968 ,41.05
6/24/1968 ,41.05
6/25/1968 ,40.85
6/26/1968 ,40.95
6/27/1968 ,40.8
6/28/1968 ,40.95
7/1/1968  ,40.9
7/2/1968  ,40.85
7/3/1968  ,40.9
7/4/1968  ,41.05
7/5/1968  ,41.1
7/8/1968  ,40.95
7/9/1968  ,40.6
7/10/1968 ,40.15
7/11/1968 ,39.4
7/12/1968 ,39.1
7/15/1968 ,39.15
7/16/1968 ,38.9
7/17/1968 ,37.8
7/18/1968 ,38
7/19/1968 ,39.1
7/22/1968 ,38.65
7/23/1968 ,38.65
7/24/1968 ,39.2
7/25/1968 ,39.1
7/26/1968 ,38.75
7/29/1968 ,38.9
7/30/1968 ,39.1
7/31/1968 ,38.9
8/1/1968  ,38.8
8/2/1968  ,38.8
8/5/1968  ,38.85
8/6/1968  ,38.85
8/7/1968  ,38.8
8/8/1968  ,38.55
8/9/1968  ,38.45
8/12/1968 ,38.6
8/13/1968 ,38.75
8/14/1968 ,38.95
8/15/1968 ,39
8/16/1968 ,39.1
8/19/1968 ,39.15
8/20/1968 ,39.35
8/21/1968 ,40.3
8/22/1968 ,39.65
8/23/1968 ,39.65
8/26/1968 ,39.4
8/27/1968 ,39.55
8/28/1968 ,39.55
8/29/1968 ,39.8
8/30/1968 ,39.85
9/3/1968  ,39.98
9/4/1968  ,39.9
9/5/1968  ,39.95
9/6/1968  ,40
9/9/1968  ,40
9/10/1968 ,40
9/11/1968 ,40
9/12/1968 ,40.05
9/13/1968 ,40.18
9/16/1968 ,40.2
9/17/1968 ,40.55
9/18/1968 ,40.45
9/19/1968 ,40.53
9/20/1968 ,40.5
9/23/1968 ,40.43
9/24/1968 ,40.48
9/25/1968 ,40.43
9/26/1968 ,40.45
9/27/1968 ,40.3
9/30/1968 ,39.7
10/1/1968 ,39.6
10/2/1968 ,38.3
10/3/1968 ,39
10/4/1968 ,38.9
10/7/1968 ,39.8
10/8/1968 ,39.75
10/9/1968 ,39.2
10/10/1968,38.83
10/11/1968,39.2
10/14/1968,39.3
10/15/1968,39.2
10/16/1968,38.95
10/17/1968,39.2
10/18/1968,39.4
10/21/1968,39.1
10/22/1968,38.95
10/23/1968,39.18
10/24/1968,39.2
10/25/1968,39.3
10/28/1968,39.38
10/29/1968,39.6
10/30/1968,39.3
10/31/1968,39.2
11/1/1968 ,38.9
11/4/1968 ,39.25
11/5/1968 ,39.33
11/6/1968 ,39.5
11/7/1968 ,39.53
11/8/1968 ,39.4
11/11/1968,39.5
11/12/1968,39.73
11/13/1968,39.75
11/14/1968,39.75
11/15/1968,40
11/18/1968,40
11/19/1968,40.05
11/20/1968,40.75
11/21/1968,40.25
11/22/1968,40.2
11/25/1968,40.3
11/26/1968,40.08
11/27/1968,39.75
11/28/1968,39.85
11/29/1968,39.85
12/2/1968 ,39.9
12/3/1968 ,40.15
12/4/1968 ,40.78
12/5/1968 ,40.45
12/6/1968 ,40.35
12/9/1968 ,40.63
12/10/1968,40.68
12/11/1968,40.75
12/12/1968,41.3
12/13/1968,40.9
12/16/1968,40.98
12/17/1968,41.2
12/18/1968,41.83
12/19/1968,41.68
12/20/1968,41.65
12/23/1968,41.7
12/24/1968,41.7
12/27/1968,41.7
12/30/1968,42
12/31/1968,41.95
1/2/1969  ,41.8
1/3/1969  ,41.9
1/6/1969  ,42.03
1/7/1969  ,42.1
1/8/1969  ,42.45
1/9/1969  ,42.48
1/10/1969 ,42.3
1/13/1969 ,42
1/14/1969 ,42.4
1/15/1969 ,42.75
1/16/1969 ,42.7
1/17/1969 ,41.9
1/20/1969 ,42.2
1/21/1969 ,42.4
1/22/1969 ,42.6
1/23/1969 ,42.2
1/24/1969 ,42
1/27/1969 ,42.2
1/28/1969 ,42.45
1/29/1969 ,42.45
1/30/1969 ,42.55
1/31/1969 ,42.55
2/3/1969  ,42.5
2/4/1969  ,42.48
2/5/1969  ,42.7
2/6/1969  ,42.63
2/7/1969  ,42.55
2/10/1969 ,42.55
2/11/1969 ,42.53
2/12/1969 ,42.6
2/13/1969 ,42.55
2/14/1969 ,42.5
2/17/1969 ,42.65
2/18/1969 ,42.63
2/19/1969 ,42.65
2/20/1969 ,42.6
2/21/1969 ,42.63
2/24/1969 ,42.7
2/25/1969 ,42.68
2/26/1969 ,42.7
2/27/1969 ,42.75
2/28/1969 ,42.78
3/3/1969  ,42.75
3/4/1969  ,42.75
3/5/1969  ,42.9
3/6/1969  ,43.25
3/7/1969  ,43.6
3/10/1969 ,43.75
3/11/1969 ,43.3
3/12/1969 ,43.03
3/13/1969 ,43.15
3/14/1969 ,43
3/17/1969 ,43.03
3/18/1969 ,42.85
3/19/1969 ,43.08
3/20/1969 ,43.13
3/21/1969 ,43.18
3/24/1969 ,43.25
3/25/1969 ,43.4
3/26/1969 ,43.35
3/27/1969 ,43.48
3/28/1969 ,43.3
3/31/1969 ,43.1
4/1/1969  ,43.1
4/2/1969  ,43.3
4/3/1969  ,43.35
4/8/1969  ,43.35
4/9/1969  ,43.38
4/10/1969 ,43.4
4/11/1969 ,43.35
4/14/1969 ,43.28
4/15/1969 ,42.9
4/16/1969 ,43.08
4/17/1969 ,43.23
4/18/1969 ,43.2
4/21/1969 ,43.2
4/22/1969 ,43.18
4/23/1969 ,43.4
4/24/1969 ,43.28
4/25/1969 ,43.25
4/28/1969 ,43.55
4/29/1969 ,43.55
4/30/1969 ,43.6
5/1/1969  ,43.6
5/2/1969  ,43.6
5/5/1969  ,43.48
5/6/1969  ,43.4
5/7/1969  ,43.48
5/8/1969  ,43.65
5/9/1969  ,43.6
5/12/1969 ,43.45
5/13/1969 ,43.5
5/14/1969 ,43.5
5/15/1969 ,43.5
5/16/1969 ,43.5
5/19/1969 ,43.48
5/20/1969 ,43.45
5/21/1969 ,43.43
5/22/1969 ,43.45
5/23/1969 ,43.5
5/27/1969 ,43.5
5/28/1969 ,43.4
5/29/1969 ,43.08
5/30/1969 ,43.15
6/2/1969  ,42.95
6/3/1969  ,42.15
6/4/1969  ,42.08
6/5/1969  ,41.1
6/6/1969  ,40.75
6/9/1969  ,40.7
6/10/1969 ,41.98
6/11/1969 ,41.8
6/12/1969 ,41.55
6/13/1969 ,41.55
6/16/1969 ,41.25
6/17/1969 ,41.5
6/18/1969 ,41.4
6/19/1969 ,41.45
6/20/1969 ,41.45
6/23/1969 ,41.23
6/24/1969 ,41.2
6/25/1969 ,40.9
6/26/1969 ,40.98
6/27/1969 ,41.1
6/30/1969 ,41.23
7/1/1969  ,41.1
7/2/1969  ,41.25
7/3/1969  ,41.51
7/4/1969  ,41.5
7/7/1969  ,41.76
7/8/1969  ,42.1
7/9/1969  ,41.9
7/10/1969 ,41.9
7/11/1969 ,41.9
7/14/1969 ,41.95
7/15/1969 ,42
7/16/1969 ,41.9
7/17/1969 ,41.98
7/18/1969 ,41.9
7/21/1969 ,42
7/22/1969 ,41.95
7/23/1969 ,41.88
7/24/1969 ,41.9
7/25/1969 ,41.85
7/28/1969 ,41.72
7/29/1969 ,41.49
7/30/1969 ,41.49
7/31/1969 ,41.45
8/1/1969  ,41.39
8/4/1969  ,41.4
8/5/1969  ,41.15
8/6/1969  ,41.1
8/7/1969  ,41.03
8/8/1969  ,41.15
8/11/1969 ,41.45
8/12/1969 ,41.2
8/13/1969 ,41.1
8/14/1969 ,41.38
8/15/1969 ,41.1
8/18/1969 ,41.2
8/19/1969 ,41.13
8/20/1969 ,41.1
8/21/1969 ,41.08
8/22/1969 ,41.05
8/25/1969 ,41
8/26/1969 ,40.9
8/27/1969 ,40.9
8/28/1969 ,40.95
8/29/1969 ,40.95
9/2/1969  ,40.79
9/3/1969  ,40.78
9/4/1969  ,40.89
9/5/1969  ,40.9
9/8/1969  ,40.9
9/9/1969  ,40.9
9/10/1969 ,40.98
9/11/1969 ,40.93
9/12/1969 ,40.95
9/15/1969 ,41
9/16/1969 ,41
9/17/1969 ,41
9/18/1969 ,40.88
9/19/1969 ,40.85
9/22/1969 ,40.88
9/23/1969 ,40.8
9/24/1969 ,40.85
9/25/1969 ,40.85
9/26/1969 ,40.75
9/29/1969 ,40.65
9/30/1969 ,40.65
10/1/1969 ,40.75
10/2/1969 ,40.78
10/3/1969 ,40.99
10/6/1969 ,40.9
10/7/1969 ,40.78
10/8/1969 ,40.76
10/9/1969 ,40.78
10/10/1969,40.75
10/13/1969,40.63
10/14/1969,40.68
10/15/1969,40.73
10/16/1969,40.65
10/17/1969,40.58
10/20/1969,40.48
10/21/1969,40.35
10/22/1969,40.25
10/23/1969,39.95
10/24/1969,40.05
10/27/1969,40.15
10/28/1969,40.13
10/29/1969,40.05
10/30/1969,39.98
10/31/1969,39.85
11/3/1969 ,39.58
11/4/1969 ,39.53
11/5/1969 ,39.5
11/6/1969 ,39.05
11/7/1969 ,38.85
11/10/1969,37.9
11/11/1969,38.2
11/12/1969,38.08
11/13/1969,37.8
11/14/1969,37.8
11/17/1969,37.9
11/18/1969,37.78
11/19/1969,37.05
11/20/1969,36
11/21/1969,36.1
11/24/1969,35.83
11/25/1969,35.35
11/26/1969,35.58
11/27/1969,35.63
11/28/1969,35.55
12/1/1969 ,35.53
12/2/1969 ,35.45
12/3/1969 ,35.35
12/4/1969 ,35.33
12/5/1969 ,35.23
12/8/1969 ,35.2
12/9/1969 ,35
12/10/1969,35
12/11/1969,35.18
12/12/1969,35.33
12/15/1969,35.2
12/16/1969,35.03
12/17/1969,35.1
12/18/1969,35.08
12/19/1969,35
12/22/1969,35.04
12/23/1969,35.13
12/24/1969,35.18
12/29/1969,35.23
12/30/1969,35.23
12/31/1969,35.21
1/2/1970  ,35.13
1/5/1970  ,35.1
1/6/1970  ,35.13
1/7/1970  ,35
1/8/1970  ,34.98
1/9/1970  ,34.85
1/12/1970 ,34.98
1/13/1970 ,34.92
1/14/1970 ,34.89
1/15/1970 ,34.86
1/16/1970 ,34.78
1/19/1970 ,34.78
1/20/1970 ,34.8
1/21/1970 ,34.83
1/22/1970 ,34.93
1/23/1970 ,34.99
1/26/1970 ,34.98
1/27/1970 ,35
1/28/1970 ,35
